№, id,название,цена со скидкой,бренд,продаж,рейтинг,в наличии,Поверхность экрана,Процессор
240, 158602316,"Ноутбук ThinkPad T480 i5-8250U 14""",38523.0,lenovo,52,5.0,153,глянцевая,intel core i5-8250U
241, 180790523,"Ноутбук RB-1750 17.3"" Intel 4x2.0GHz; 16Gb; 256Gb SSD",36054.0,Azerty,10,5.0,116,матовое,Intel Celeron N5095 (2.0 ГГц)
242, 150753350,Подарочная карта с кодами на Robux 2000,3269.0,Roblox,28,5.0,1,NaN,NaN
243, 182627128,Ноутбук Predator Nitro 5 AN515-46-R5B3 R7 6800H 16ГБ 1ТБ SSD,101832.0,Acer,36,0.0,95,NaN,AMD Ryzen 7 6800H
244, 183427309,Ноутбук Inbook X3 XL422 (71008301342),71991.0,Infinix,10,0.0,77,матовая,Intel
245, 177452105,Vivobook X1704ZA-AU123; 17.3-i5-16-512-безОС,58779.0,ASUS,17,5.0,164,матовая,Intel Core i5-1235U
246, 163123303,Ноутбук IdeaPad 5 Pro Gen 6 (82L900ARRU),104751.0,lenovo,12,0.0,193,антибликовая,Intel Core i5-11300H
247, 180895729,"Ноутбук Swift 3 SF314-512-744D [NX.K0FER.004] 14"" Win11",81640.0,Acer,28,0.0,95,NaN,Intel Core i7 i7-1260P
248, 174404477,"Ультрабук 14.1"" IPS 6 Гб SSD 1 TB Российская клавиатура",20736.0,FLASHBOOK,56,4.0,120,глянцевая,Intel Celeron N3350
249, 104198041,"Ноутбук Aspire A315-34-C7L6 [NX.HE3ER.022] 15;6"" DOS",30215.0,Acer,7,3.0,98,NaN,Intel Celeron - N4020
250, 181027582,Ноутбук 15-dw3004ur <2Y4E8EA> i3-1115G4,62991.0,HP,10,0.0,180,NaN,NaN
251, 172331053,Ноутбук Swift 3 SF314-43 R582SUW1 [NX.AB1ER.00U],64832.0,Acer,17,0.0,14,NaN,AMD Ryzen 5 5500U
252, 182626285,Ноутбук Predator Triton 300 SE PT316-51s-700X i7-12700H,117408.0,Acer,36,0.0,112,NaN,Intel Core i7 i7-12700H
253, 190128204,"Ноутбук 14"" IPS 4-Ядра 8GB SSD 256GB",24300.0,TOKOM,10,0.0,149,матовая,Intel Celeron J4105
254, 180910640,"Ноутбук Swift 3 SF314-512-55DD [NX.K0FER.003] 14"" Win11",64740.0,Acer,36,0.0,95,NaN,Intel Core i5 i5-1240P
255, 192257799,Ноутбук Swift Go SFG14-71-51EJ (NX.KMZCD.002),98991.0,Acer,10,0.0,99,глянцевая,Iris Xe Graphics
256, 191366923,Ноутбук Inbook Y2 PLUS XL29 (71008301120),38691.0,Infinix,10,0.0,101,матовая,Intel Core i3 1115G4
257, 158141070,"Ноутбук AZ-1702 17.3"" Intel 4x2.0GHz; 12Gb; 1Tb SSD",37539.0,Azerty,10,5.0,164,глянцевая,Intel Celeron J4125 (2.0 ГГц)
258, 174253195,"Ноутбук RB-1551 15.6"" Intel 4x2.0GHz; 16Gb; 512Gb SSD",30285.0,Azerty,10,5.0,84,матовое,Intel Celeron N5095 (2.0 ГГц)
259, 140309925,Ноутбук VivoBook 15X R7 16 512ГБ Radeon Graphics 15.6'' OLED,70731.0,Asus,28,5.0,97,глянцевая,AMD Ryzen 7 5800H
260, 180782820,"Ноутбук RB-1451 14"" Intel 2х1.10GHz; 6Gb; 256Gb SSD",21150.0,Azerty,10,5.0,86,матовое,Intel Celeron N4020 (1.1 ГГц)
